Feature	CompGroup.C.	BaseGroup.B.	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	X95.Conf.Int.1	X95.Conf.Int.2	MeanC	MeanB	NullValue.DifferenceInMeans	Alternative	Method	FDR
X3964299_LOC100128818	Relapsed	No_relapse	20	20	1.11292625528964	2.4615712681551	32.9239988894132	0.019242957853615	0.026768253477785	0.281947746522214	5.204901	5.050543	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3655060_ATP2A1	Relapsed	No_relapse	20	20	1.08767647760154	2.44460478406836	37.8500889736554	0.0192701104280592	0.0208288874703102	0.22167011252969	4.20434	4.0830905	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2441329_C1orf110	Relapsed	No_relapse	20	20	-1.17476769616249	-2.45327516971915	34.6502254536036	0.0193341413952722	-0.424737791132747	-0.0400132088672526	3.029326	3.2617015	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3974957_GPR82	Relapsed	No_relapse	20	20	-1.1867244589717	-2.44305854461203	37.4685337779932	0.0193922670265097	-0.451739814264734	-0.042230185735266	1.876684	2.123669	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2443450_SELL	Relapsed	No_relapse	20	20	-1.2714960674573	-2.4418190133908	37.3513527991469	0.0194654636054522	-0.63397972217614	-0.0590742778238603	3.6562735	4.0028005	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2502952_TMEM177	Relapsed	No_relapse	20	20	1.1916635764629	2.43876483236893	37.9663420223871	0.0195248041872057	0.0429772224362112	0.46297677756379	4.3921425	4.1391655	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2505293_RAB6C	Relapsed	No_relapse	20	20	-1.25605400905994	-2.4383110253023	37.6857253133212	0.0195832684161625	-0.602039451795126	-0.0557575482048749	3.9317705	4.260669	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3043231_	Relapsed	No_relapse	20	20	1.48617705406642	2.43858267883716	37.4848229621119	0.0195976937226502	0.0968719046410645	1.04634009535894	4.024988	3.453382	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3878836_RIN2	Relapsed	No_relapse	20	20	1.28727741912768	2.43741171864399	37.4772299714087	0.0196533750473761	0.0615955833414458	0.667050416658554	6.3254215	5.9610985	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2340695_SGIP1	Relapsed	No_relapse	20	20	-1.21365679038467	-2.45968010437683	31.1218320864833	0.0196606892411787	-0.510963425749499	-0.0477575742504999	3.874762	4.1541225	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2334740_FAAH	Relapsed	No_relapse	20	20	1.09783672006528	2.4366022563435	37.6030953761507	0.0196741887954673	0.0227426772468359	0.246584322753165	5.071842	4.9371785	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3740664_C17orf91	Relapsed	No_relapse	20	20	1.26307122897024	2.4365470114843	37.5219580850161	0.019687750155138	0.0568770633667226	0.616994936633277	5.049994	4.713058	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3770345_CD300E	Relapsed	No_relapse	20	20	1.23036937595299	2.44137423213212	35.7932633068863	0.019707864660601	0.0505809094954459	0.547602090504553	5.8266395	5.527548	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2675998_TLR9	Relapsed	No_relapse	20	20	1.19514527947854	2.44741254674305	33.8346361000573	0.0197354835042672	0.0435894221830284	0.470782577816971	5.2330285	4.9758425	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3257204_IFIT3	Relapsed	No_relapse	20	20	-1.84531997682476	-2.45558417780459	31.0104434187291	0.0198704162267372	-1.61797011997402	-0.149771880025978	4.3751475	5.2590185	0	two.sided	Welch Two Sample t-test	0.998325515159334
